v1,v2
ham,"I call you later, don't have network. If urgnt, sms me."
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
ham,"K, want us to come by now?"
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Jus ans me lar. U'll noe later.
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
ham,have you ever had one foot before?
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,Tell me something. Thats okay.
ham,Pls help me tell Ashley that i cant find her number oh
ham,Anything lor... U decide...
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
ham,Hey come online! Use msn... We are all there
ham,ÌÏ takin linear algebra today?
ham,Sorry da. I gone mad so many pending works what to do.
ham,I know she called me
ham,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne."
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
ham,Havent.
ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.
ham,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;
ham,But i have to. I like to have love and arrange.
ham,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
ham,K still are you loving me.
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
ham,You always make things bigger than they are
ham,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_
ham,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.
ham,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon 
ham,Reckon need to be in town by eightish to walk from * carpark.
ham,Can a not?
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
ham,"I guess you could be as good an excuse as any, lol."
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,Prepare to be pounded every night...
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
ham,Friends that u can stay on fb chat with
ham,Okie.. Thanx..
ham,Lol great now im getting hungry.
ham,Cancel cheyyamo?and get some money back?
spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
ham,There are no other charges after transfer charges and you can withdraw anyhow you like
ham,How do you plan to manage that
ham,Nah dub but je still buff
ham,"Thanx 4 the time weåÕve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
ham,"Alright, I'll head out in a few minutes, text me where to meet you"
ham,Many times we lose our best ones bcoz we are 
ham,Left dessert. U wan me 2 go suntec look 4 u?
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe
ham,Pandy joined 4w technologies today.he got job..
ham,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY."
ham,Do u noe wat time e place dat sells 4d closes?
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,Understand. his loss is my gain :) so do you work? School?
ham,I know you mood off today
ham,Yes. Nigh you cant aha.
ham,"Yes, princess. Are you going to make me moan?"
ham,"Just wondering, the others just took off"
ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
ham,Anything lor is she coming?
ham,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\"""""
ham,Surly ill give it to you:-) while coming to review.
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
ham,We left already we at orchard now.
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
ham,Ya just telling abt tht incident..
ham,I'm e person who's doing e sms survey...
ham,Just now saw your message.it k da:)
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
ham,Just got outta class gonna go gym.
ham,"K, I might come by tonight then if my class lets out early"
ham,I am taking you for italian food. How about a pretty dress with no panties? :)
ham,Hahaha..use your brain dear
ham,Can Ì_ send me a copy of da report?
ham,Oh ho. Is this the first time u use these type of words
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
spam,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,"Sorry, I'll call later"
ham,Yar else i'll thk of all sorts of funny things.
ham,Super da:)good replacement for murali
ham,I am not sure about night menu. . . I know only about noon menu
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
ham,I think chennai well settled?
ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor..."
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
ham,Moji i love you more than words. Have a rich day
ham,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,Went to ganesh dress shop
ham,Aiya we discuss later lar... Pick Ì_ up at 4 is it?
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
ham,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?"
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
ham,I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?
ham,Goodnight da thangam I really miss u dear.
ham,"K, can that happen tonight?"
ham,:) 
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? 
ham,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX
ham,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)"""
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.
ham,I'm done...
ham,Tiwary to rcb.battle between bang and kochi.
ham,No problem. Talk to you later
spam,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
ham,Dude im no longer a pisces. Im an aquarius now.
ham,Ok i've sent u da latest version of da project.
ham,I am taking half day leave bec i am not well
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
ham,Aiyah u did ok already lar. E nydc at wheellock?
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
ham,"Oh... Icic... K lor, den meet other day..."
ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"""""
ham,Uncle Abbey! Happy New Year. Abiola
ham,Did u download the fring app?
ham,"So check your errors and if you had difficulties, do correction."
ham,Good morning princess! Happy New Year!
ham,Yunny i'm walking in citylink now Ì_ faster come down... Me very hungry...
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Did u got that persons story
ham,Why nothing. Ok anyway give me treat
ham,I know girls always safe and selfish know i got it pa. Thank you. good night.
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
ham,If u sending her home first it's ok lor. I'm not ready yet.
ham,Lol ok. I'll snatch her purse too.
spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
ham,Wishing you a wonderful week.
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,I'll probably be by tomorrow (or even later tonight if something's going on)
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?"
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,"Sorry, I'll call later"
ham,Ho ho - big belly laugh! See ya tomo
ham,How much she payed. Suganya.
ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
ham,Jay says that you're a double-faggot
ham,R u meeting da ge at nite tmr?
ham,And of course you should make a stink!
ham,"Oh, then your phone phoned me but it disconnected"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
ham,Yeah whatever lol
ham,Ok thanx...
ham,Ok leave no need to ask
ham,Love it! I want to flood that pretty pussy with cum...
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Can not use foreign stamps in this country. Good lecture .
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,I am in hospital da. . I will return home in evening
ham,How come?
ham,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,"Ah, well that confuses things, doesnÛ÷t it?"
ham,2mro i am not coming to gym machan. Goodnight.
ham,Excellent! Are you ready to moan and scream in ecstasy?
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.
ham,My birthday is on feb  &lt;#&gt;  da. .
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call"
ham,Yeah it's jus rite...
ham,You'll never believe this but i have actually got off at taunton. Wow
ham,"\Are you comingdown later?\"""""
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
ham,Hi happy birthday. Hi hi hi hi hi hi hi
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
ham,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..
ham,Have your lunch and come quickly and open the door:)
ham,Did either of you have any idea's? Do you know of anyplaces doing something?
ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
ham,Dont know you bring some food
ham,Why tired what special there you had
ham,"Kate jackson rec center before 7ish, right?"
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
ham,MMM ... Fuck .... Merry Christmas to me
spam,"Auction round 4. The highest bid is now å£54. Next maximum bid is å£71. To bid, send BIDS e. g. 10 (to bid å£10) to 83383. Good luck."
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
ham,All will come alive.better correct any good looking figure there itself..
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
ham,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.
ham,I wish u were here. I feel so alone
ham,S.i think he is waste for rr..
ham,Then u drive lor.
ham,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,"Sorry sir, i will call you tomorrow.  senthil.hsbc"
ham,Well if I'm that desperate I'll just call armand again
ham,HAPPY NEW YEAR MY NO.1 MAN
ham,What pa tell me.. I went to bath:-)
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
ham,"No, I was trying it all weekend ;V"
ham,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do."
ham,Hey what's up charles sorry about the late reply.
ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)
ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
ham,"\Hi darlin did youPhone me? Im atHome if youwanna chat.\"""""
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
ham,Remember to ask alex about his pizza
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at"
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603"
ham,Call me when u finish then i come n pick u.
ham,You are a big chic. Common. Declare
ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
ham,Ok...
ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy \VALENTINES DAY\"" in advance"""
ham,What time you think you'll have it? Need to know when I should be near campus
ham,Im good! I have been thinking about you...
ham,I can't make it tonight
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,When u wana see it then
spam,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X"
ham,Or remind me in a few hrs.
ham,When i have stuff to sell i.ll tell you
ham,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
ham,Ok. I.ll do you right later.
ham,K.i did't see you.:)k:)where are you now?
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
ham,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight
ham,Yeah but which is worse for i
ham,Mm so you asked me not to call radio
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,"That's cool he'll be here all night, lemme know when you're around"
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.
ham,"Found it, ENC  &lt;#&gt; , where you at?"
ham,ÌÏ wait 4 me in sch i finish ard 5..
ham,Yes princess! I want to catch you with my big strong hands...
spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
ham,So how's the weather over there?
ham,You can never do NOTHING
ham,No need to ke qi... ÌÏ too bored izzit y suddenly thk of this...
ham,Oops my phone died and I didn't even know. Yeah I like it better.
ham,"Me, i dont know again oh"
ham,Please leave this topic..sorry for telling that..
ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
ham, &lt;#&gt;  in mca. But not conform.
ham,Was playng 9 doors game and gt racing on phone lol
spam,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,Hope you are having a great day.
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,See? I thought it all through
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...
spam,"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate."
ham,"Haha awesome, I might need to take you up on that, what you doin tonight?"
ham,K..i deleted my contact that why?
ham,No da if you run that it activate the full version da.
ham,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\"""""
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
spam,"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply."
ham,Sorry that was my uncle. I.ll keep in touch
ham,Am watching house ÛÒ very entertaining ÛÒ am getting the whole hugh laurie thing ÛÒ even with the stick ÛÒ indeed especially with the stick.
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon 
ham,ÌÏ come lt 25 n pass to me lar
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
ham,S...i will take mokka players only:)
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
ham,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?"
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
ham,Staff of placement training in Amrita college.
ham,"What part of \don't initiate\"" don't you understand"""
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,"Sir, I am waiting for your mail."
ham,I cant pick the phone right now. Pls send a message
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
ham,\SHIT BABE.. THASA BIT MESSED UP.YEH
ham,But i juz remembered i gotta bathe my dog today..
ham,Ladies first and genus second k .
ham,Okay. I've seen it. So i should pick it on friday?
ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
ham,Send me your resume:-)
ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye."
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
ham,Wah lucky man... Then can save money... Hee...
ham,If you are not coughing then its nothing
ham,Did u got that persons story
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe"
ham,No need to say anything to me. I know i am an outsider
spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,Take some small dose tablet for fever
ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
ham,"Good stuff, will do."
ham,\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS åÐ FUCKINNICE!SELFISH
ham,Tomarrow final hearing on my laptop case so i cant.
ham,What should i eat fo lunch senor
ham,my ex-wife was not able to have kids. Do you want kids one day?
ham,"(No promises on when though, haven't even gotten dinner yet)"
ham,Dear good morning now only i am up
ham,U reach orchard already? U wan 2 go buy tickets first?
ham,WHORE YOU ARE UNBELIEVABLE.
ham,U're welcome... Caught u using broken english again...
ham,"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min"
ham,Did you get any gift? This year i didnt get anything. So bad
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
ham,Yup but not studying surfing lor. I'm in e lazy mode today.
spam,"URGENT! Your mobile No *********** WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
ham,No no. I will check all rooms befor activities
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
spam,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,Hi :)finally i completed the course:)
ham,Then why you not responding
ham,"Just dropped em off, omw back now"
ham,No management puzzeles.
ham,Old Orchard near univ. How about you?
ham,"The table's occupied, I'm waiting by the tree"
ham,We have all rounder:)so not required:)
ham,Of course. I guess god's just got me on hold right now.
ham,I'm in class. Will holla later
ham,Send me the new number
ham,"Cool, I'll text you in a few"
ham,I liked your new house
ham,Jay's getting really impatient and belligerent
ham,Tell me whos this pls:-)
